Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.32,-.05,-.40,-.15,-.01,-1.09,-.50,-.26,-.19,-.11,-.03,.05,.67
1881,-.09,-.19,.00,-.34,.07,-.06,-.94,-.49,-.15,.06,.09,-.05,-.07,.59
1882,-.10,-.21,.00,-.30,-.06,.03,-1.52,-.28,-.09,-.07,-.04,.03,.04,.62
1883,-.19,-.32,-.06,-.38,-.19,.01,-.44,-.61,-.22,-.22,-.16,.00,.07,.50
1884,-.29,-.44,-.15,-.58,-.19,-.13,-1.40,-.61,-.41,-.21,-.18,-.18,-.02,.65
1885,-.31,-.40,-.23,-.60,-.14,-.25,-1.23,-.68,-.42,-.08,-.21,-.30,-.15,.82
1886,-.32,-.42,-.23,-.53,-.24,-.21,-1.30,-.50,-.40,-.23,-.24,-.21,-.20,.59
1887,-.34,-.40,-.29,-.47,-.30,-.27,-1.61,-.47,-.25,-.29,-.32,-.27,-.26,.32
1888,-.18,-.22,-.13,-.42,.09,-.28,-1.52,-.43,-.20,.09,.08,-.31,-.23,.16
1889,-.11,-.17,-.05,-.28,.06,-.16,-.90,-.20,-.21,.02,.10,-.15,-.15,.45
1890,-.37,-.41,-.33,-.47,-.40,-.22,-1.33,-.55,-.26,-.32,-.50,-.17,-.27,.15
1891,-.24,-.27,-.21,-.43,-.11,-.21,-1.36,-.31,-.32,-.02,-.21,-.17,-.24,-.16
1892,-.27,-.38,-.16,-.42,-.30,-.08,-1.35,-.60,-.12,-.32,-.28,.02,-.22,.09
1893,-.32,-.45,-.19,-.48,-.38,-.07,-.95,-.51,-.36,-.40,-.36,.03,-.21,-.04
1894,-.31,-.39,-.24,-.34,-.34,-.25,-1.41,-.27,-.12,-.46,-.22,-.16,-.35,-.38
1895,-.22,-.28,-.16,-.38,-.07,-.26,-.98,-.45,-.19,-.12,-.03,-.21,-.32,-.59
1896,-.11,-.20,-.03,-.37,.10,-.15,-1.30,-.35,-.15,.07,.14,-.15,-.14,.25
1897,-.12,-.17,-.07,-.34,.15,-.24,-.78,-.38,-.20,.12,.18,-.21,-.28,.40
1898,-.28,-.29,-.27,-.32,-.26,-.27,-1.24,-.16,-.20,-.23,-.29,-.28,-.21,.37
1899,-.18,-.20,-.16,-.21,-.15,-.20,-1.09,.00,-.13,-.19,-.11,-.17,-.22,.58
1900,-.09,-.08,-.10,-.18,.14,-.31,-.64,-.07,-.14,.09,.19,-.30,-.29,.27
1901,-.15,-.10,-.21,-.13,-.06,-.31,-.60,-.02,-.07,-.05,-.06,-.29,-.34,.26
1902,-.30,-.34,-.25,-.51,-.09,-.36,-1.66,-.40,-.28,-.05,-.12,-.30,-.43,-.05
1903,-.39,-.38,-.40,-.46,-.32,-.40,-.55,-.37,-.50,-.25,-.39,-.38,-.40,-.47
1904,-.49,-.49,-.49,-.50,-.51,-.45,-.32,-.55,-.53,-.47,-.56,-.39,-.49,-1.29
1905,-.29,-.31,-.26,-.40,-.14,-.36,-.22,-.18,-.60,-.17,-.12,-.34,-.37,-.31
1906,-.22,-.22,-.22,-.23,-.21,-.23,-.42,.01,-.35,-.21,-.21,-.21,-.23,-.68
1907,-.39,-.46,-.32,-.58,-.32,-.29,-.78,-.69,-.46,-.29,-.35,-.22,-.37,-1.17
1908,-.43,-.45,-.41,-.48,-.45,-.35,-.49,-.50,-.47,-.41,-.49,-.28,-.48,.70
1909,-.47,-.46,-.48,-.49,-.48,-.44,-.83,-.50,-.39,-.43,-.53,-.37,-.52,-.54
1910,-.43,-.43,-.43,-.39,-.50,-.37,-.76,-.15,-.45,-.49,-.51,-.32,-.45,.19
1911,-.43,-.40,-.46,-.39,-.43,-.47,-.43,-.35,-.41,-.40,-.46,-.43,-.52,.08
1912,-.35,-.45,-.25,-.58,-.19,-.35,-.68,-.71,-.47,-.26,-.11,-.35,-.29,-1.60
1913,-.35,-.43,-.27,-.42,-.31,-.34,-.70,-.25,-.46,-.44,-.18,-.27,-.40,-1.01
1914,-.15,-.19,-.12,-.24,-.07,-.17,-.62,-.06,-.26,-.11,-.04,-.16,-.18,-.34
1915,-.12,-.11,-.13,-.19,.00,-.21,-.63,-.06,-.15,.02,-.03,-.14,-.23,-1.95
1916,-.33,-.36,-.31,-.30,-.43,-.21,-.40,-.43,-.19,-.45,-.42,-.21,-.17,-1.02
1917,-.44,-.53,-.35,-.42,-.65,-.18,-.72,-.37,-.38,-.71,-.58,-.22,-.09,.09
1918,-.28,-.37,-.20,-.38,-.32,-.13,-1.28,-.16,-.28,-.34,-.30,-.06,-.22,-.25
1919,-.26,-.33,-.20,-.41,-.19,-.22,-.93,-.44,-.26,-.21,-.17,-.14,-.32,.23
1920,-.25,-.26,-.25,-.19,-.25,-.31,-.08,-.06,-.30,-.35,-.16,-.18,-.48,-1.12
1921,-.17,-.07,-.27,.05,-.24,-.31,-.15,.28,-.04,-.25,-.24,-.23,-.38,-.81
1922,-.27,-.25,-.30,-.21,-.31,-.27,-.51,-.29,-.08,-.30,-.33,-.24,-.28,-.25
1923,-.24,-.19,-.30,-.12,-.28,-.33,.01,-.03,-.21,-.29,-.26,-.26,-.41,-.52
1924,-.25,-.15,-.35,-.11,-.23,-.42,.18,-.15,-.16,-.22,-.24,-.38,-.46,-.50
1925,-.20,-.11,-.30,-.01,-.23,-.37,-.27,.27,-.12,-.25,-.20,-.24,-.54,-.83
1926,-.09,.04,-.20,.04,.04,-.40,.39,.27,-.19,.03,.06,-.35,-.45,-.61
1927,-.20,-.10,-.29,-.11,-.13,-.39,-.13,-.12,-.10,-.10,-.17,-.31,-.45,-1.35
1928,-.19,-.08,-.30,-.05,-.14,-.40,.52,-.07,-.19,-.12,-.16,-.30,-.48,-2.09
1929,-.35,-.31,-.38,-.35,-.27,-.45,-.04,-.51,-.34,-.25,-.28,-.42,-.44,-1.05
1930,-.14,.02,-.29,.08,-.10,-.43,.37,.16,-.06,-.07,-.12,-.34,-.47,-2.57
1931,-.10,.05,-.23,.02,.05,-.42,.35,.08,-.11,.08,.02,-.42,-.40,-.38
1932,-.17,-.05,-.27,.04,-.19,-.34,.17,.31,-.17,-.19,-.19,-.21,-.53,-.96
1933,-.30,-.26,-.33,-.24,-.30,-.34,-.47,-.39,-.09,-.30,-.31,-.22,-.49,-1.12
1934,-.14,-.01,-.27,.18,-.28,-.26,.59,.41,-.09,-.28,-.27,-.16,-.38,-.54
1935,-.21,-.09,-.32,-.03,-.21,-.37,.12,.06,-.13,-.19,-.24,-.31,-.42,-1.69
1936,-.16,-.04,-.28,-.03,-.15,-.30,.12,.19,-.22,-.06,-.25,-.27,-.33,-.01
1937,-.04,.12,-.19,.18,-.07,-.22,.96,.10,.01,.02,-.15,-.20,-.25,.39
1938,-.03,.12,-.20,.33,-.26,-.10,1.06,.45,.06,-.19,-.32,-.06,-.11,-.84
1939,-.03,.08,-.15,.23,-.15,-.12,.45,.34,.10,-.14,-.17,-.05,-.19,-1.58
1940,.12,.17,.08,.11,.25,-.07,.86,.05,-.06,.25,.26,.03,-.20,-.03
1941,.18,.23,.16,.02,.48,-.05,-.21,-.05,.12,.53,.42,.03,-.15,-.44
1942,.06,.10,.01,.09,.08,-.01,.27,-.02,.10,.12,.04,.06,-.05,-.87
1943,.07,.15,-.01,.32,-.10,.04,1.10,.29,.13,-.11,-.08,.07,.00,1.16
1944,.21,.27,.16,.37,.19,.07,.95,.50,.12,.11,.26,.19,-.09,-.21
1945,.09,.09,.10,.08,.17,-.02,.37,-.02,.06,.10,.24,.04,.00,-1.85
1946,-.07,.03,-.17,.07,-.05,-.24,-.20,-.01,.19,-.02,-.08,-.22,-.24,.02
1947,-.04,.06,-.14,.12,-.07,-.15,.86,-.13,.05,-.04,-.11,-.19,-.08,.03
1948,-.10,-.01,-.20,.13,-.20,-.22,.07,.34,.02,-.23,-.17,-.19,-.19,-1.01
1949,-.11,-.03,-.18,.11,-.21,-.19,.13,.16,.07,-.24,-.17,-.17,-.14,-1.29
1950,-.18,-.17,-.20,-.09,-.30,-.12,-.01,-.32,.03,-.30,-.30,-.06,-.16,-.72
1951,-.06,.05,-.17,.08,-.07,-.20,-.02,.03,.14,.00,-.14,-.22,-.16,-.18
1952,.01,.05,-.04,.09,.01,-.08,.12,-.07,.19,.00,.03,-.09,-.02,-.38
1953,.07,.23,-.08,.33,.07,-.19,.82,.35,.17,.08,.05,-.08,-.24,-1.34
1954,-.15,-.05,-.25,.02,-.22,-.21,.51,-.22,.01,-.14,-.30,-.17,-.20,-.77
1955,-.15,-.11,-.20,.02,-.34,-.05,-.44,-.08,.23,-.29,-.38,-.15,-.08,1.28
1956,-.21,-.26,-.16,-.25,-.33,.00,-.28,-.47,-.10,-.28,-.38,-.13,.02,.67
1957,.04,.04,.04,.03,.07,.01,.04,.22,-.10,.06,.08,-.09,-.02,.45
1958,.07,.17,-.03,.11,.20,-.15,-.09,.18,.13,.27,.14,-.08,-.08,-.55
1959,.03,.12,-.06,.15,.07,-.16,.44,.17,.04,.07,.08,-.03,-.27,-.37
1960,-.02,.08,-.12,.09,.03,-.20,.34,-.05,.11,.07,-.01,-.10,-.07,-.79
1961,.06,.09,.02,.18,-.03,.04,-.14,.37,.17,-.06,.01,.14,-.18,.14
1962,.04,.16,-.08,.29,-.04,-.10,.67,.33,.15,-.04,-.05,.09,-.07,-.81
1963,.07,.16,-.02,.17,.12,-.10,.01,.33,.13,.14,.10,-.11,-.17,.08
1964,-.20,-.19,-.20,-.24,-.13,-.24,-.66,-.22,-.11,-.13,-.14,-.30,-.07,-.38
1965,-.10,-.13,-.08,-.16,-.03,-.14,-.19,-.23,-.11,-.07,.01,-.23,-.03,-.08
1966,-.05,.00,-.09,-.12,.08,-.15,-.69,-.16,.08,.17,.00,-.24,-.14,.13
